Company Brand,HeadQuarter,Sector,What it does,Amount($),Stage,Year Funded,Sector_New
Aqgromalin,Chennai,agritech,Cultivating Ideas for Profit,200000.0,Seed,2020,Technology
Krayonnz,Bangalore,edtech,An academy-guardian-scholar centric ecosystem which provides state of the art technological solutions.,100000.0,Seed,2020,Education
PadCare Labs,Pune,hygiene management,Converting bio-hazardous waste to harmless waste,1512135.0,Seed,2020,Health
NCOME,New Delhi,escrow,Escrow-as-a-service platform,400000.0,Seed,2020,Telecommunication
Gramophone,Indore,agritech,Gramophone is an AgTech platform enabling access to agri inputs and powering efficient farm management.,340000.0,Seed,2020,Technology
qZense,Bangalore,agritech,qZense Labs is building the next-generation IoT solution for fresh food quality assessment and management.,600000.0,Seed,2020,Technology
MyClassboard,Hyderabad,edtech,MyClassboard is a full-fledged School / College Management Software.,600000.0,Series A,2020,Education
Metvy,Gurgaon,networking platform,AI driven networking platform for individuals and organisations which aims to provided a seamless end to end networking experience.,1512135.0,Seed,2020,Technology
Rupeek,Bangalore,fintech,"Rupeek is an online lending platform that specializes in credit risk, gold loans, and personal loans.",45000000.0,Series C,2020,Finance
Gig India,Pune,crowdsourcing,GigIndia is a marketplace that provides on-demand work completion for companies through a gig workforce of jobseekers.,1000000.0,Series A,2020,Finance
Slurrp Farm,Gurgaon,food & bevarages,Slurrp Farm is a children health food brand.,2000000.0,Series A,2020,Food & Beverages
Medfin,Bangalore,healthtech,Medfin is a Discovery platform for medical procedures and financing.,1512135.0,Series A,2020,Health
MasterG,New Delhi,fashion startup,MasterG is a design and skill development organisation.,1512135.0,Seed,2020,Beauty & Fashion
Brila 91,New Delhi,food & bevarages,Bira 91 is a craft beer company.,1200000.0,Seed,2020,Food & Beverages
FoodyBuddy,Belgaum,food industry,FoodyBuddy is a online food delivery portal,600000.0,Seed,2020,Food & Beverages
Zomato,Gurgaon,food delivery,Zomato is a food delivery and restaurant discovery site that provides information and reviews about restaurants,660000000.0,Seed,2020,Food & Beverages
OurEye.ai,Bangalore,virtual auditing startup,"Video intelligence solution for Enterprise Standard Operating Procedures Monitoring and Quality Control, leveraging CCTV infrastructure.",120000.0,Seed,2020,Business Intelligence
Shiprocket,New Delhi,e-commerce,Shiprocket helps online retailers simplify their shipping by providing a delightful post purchase experience to their consumers.,7500000.0,Series C,2020,Commerce
Pine Labs,Noida,fintech,A merchant platform company that provides financing and last-mile retail transaction technology to merchants.,1512135.0,Seed,2020,Finance
Moneyboxx Finance,New Delhi,fintech,MONEYBOXX FINANCE LTD is committed to providing easy access to financing to the deserving micro enterprises in the tier 2 and tier 3 cities of India,1000000.0,Seed,2020,Finance
EWar,Bangalore,gaming,EWar Games is a e-sports and real-time gaming start-up.,1512135.0,Series A,2020,Sports
SucSEED Indovation,Hyderabad,fintech,"SucSEED INDOVATION FACILITATES ACCESS TO CAPITAL FOR DEEP TECH STARTUPS TO INNOVATE, SCALE & GROW",5000000.0,Seed,2020,Finance
TaxBuddy.com,Mumbai,fintech,TaxBuddy for any tax related issues.,1000000.0,Seed,2020,Finance
Awign Enterprises,Bangalore,work fulfillment,Operations and manpower outsourcing startup,500000.0,Seed,2020,Lifestyle
Circle of Angels,Gurgaon,fintech,Circles of Angels aims to solve this issue through the creation of a funding network that makes impact funding accessible to everyone.,3000000.0,Seed,2020,Finance
CoinDCX,Mumbai,fintech,CoinDCX is a company that specializes in crypto-enabled financial services.,10000000.0,Series B,2020,Finance
Glance,Bangalore,ai startup,Glance is a screen zero platform that consumers use across connected devices to experience the Internet.,145000000.0,Seed,2020,Technology
VerSe Innovation,Bangalore,telecommunication,Owner of Dailyhunt App and I-Pay,100000000.0,Seed,2020,Telecommunication
Voosh,Bangalore,food industry,Building India's largest digital food service brand,1512135.0,Seed,2020,Food & Beverages
Delhivery,Gurgaon,e-commerce,Delhivery is a supply chain services company that provides products and services to build trust and improve the lives of consumers.,1512135.0,Seed,2020,Commerce
Arya,Noida,agritech,"""Simplifying Agribusiness"" Throughout Agri-Supply chain, FPO Market Linkages, Market Research, Implementation",21000000.0,Series B,2020,Technology
Pickrr,New Delhi,logistics,Pickrr is an on-demand first mile logistics company,4000000.0,Seed,2020,Automobile
PhonePe,Andheri,fintech,PhonePe is a mobile payment application that enables users to transfer money instantly.,20000000.0,Seed,2020,Finance
Countingwell,Bangalore,edtech,"An interactive Maths app, Countingwell breaks Maths concepts into short, simple modules that get kids learning with the least amount of screen time.",1000000.0,Series A,2020,Education
Callify.ai,Mumbai,tech startup,Callify.ai is a Voice-Based Candidate Screening & Engagement platform for Talent Acquisition teams.,560000.0,Seed,2020,Technology
Hudle,New Delhi,sports,Hudle is a sports & fitness discovery & booking platform with 300+ sports venues and sports events/tournaments available for booking.,1512135.0,Series A,2020,Sports
Cover it Up,Chennai,e-commerce,Online portal that churns out high quality products,400000.0,Seed,2020,Commerce
BiteSpeed,Gurgaon,e-commerce,Chat-based commerce for E-commerce brands,275000.0,Seed,2020,Commerce
WakeFit,Bangalore,retail,Wakefitkart is a mattress manufacturing company,20000000.0,Series B,2020,Commerce
Sreyas Holistic Remedies,Hyderabad,medtech,Sreyas Holistic Remedies operates a chain of dermatologist clinics under the brand name of Oliva,1000000.0,Seed,2020,Media and Entertainment
Fleeca India,Jaipur,tyre management,FLEECA is a Tyre Care Provider company.,1512135.0,Seed,2020,Manufacturing
M1xchange,Gurgaon,fintech,M1 an online exchange for TReDS set up under the approval RBI to facilitate discounting of invoices on a PAN India basis.,4500000.0,Seed,2020,Finance
Exotel,Bangalore,cloud company,Exotel provides cloud telephony services such as virtual phone numbers and telephony applications for small and medium enterprises in India.,5000000.0,Seed,2020,Technology
PagarBook,Bangalore,software company,"Staff's Salary, Work & Attendance Management Application",15000000.0,Series A,2020,Technology
PointOne Capital,Bangalore,venture capitalist,Pre-seed/Seed focussed VC investor,1512135.0,Seed,2020,Finance
Ayana,Bangalore,renewable player,Ayana Renewable Power is an Indian renewable energy platform,390000000.0,Seed,2020,Energy
Fisdom,Bangalore,fintech,Fisdom is a fintech company that offers investment advisory services through an application.,7000000.0,Seed,2020,Finance
Tinker Coders,Noida,edtech,Tinker Coder is a LIVE Online Platform through which kids will learn the art of coding,1512135.0,Seed,2020,Education
Infinite Uptime,Pune,iot startup,The industrial Internet platform that harnesses the power of big data & predictive analytics for data-driven decision making.,5100000.0,Series B,2020,Technology
HappyLocate,Bangalore,saas startup,"HappyLocate is India's first One Stop Relocation Platform, transforming the way Employee Relocations are managed",500000.0,Series A,2020,Technology
PhonePe,New Delhi,fintech,PhonePe is a mobile payments application that allows the user to transfer money instantly.,700000000.0,Seed,2020,Finance
Loop Health,Pune,healthtech,Loop Health is bringing ease and choice to patients seeking major medical treatments.,2300000.0,Seed,2020,Health
NeoDocs,Mumbai,healthtech,Neodocs analyses medical reports and provides personalised health recommendations remotely.,1512135.0,Seed,2020,Health
The ePlane,Chennai,aero company,Transforming the mobility landscape using aerial transport.,1512135.0,Seed,2020,Transport
TagMango,Mumbai,marketing company,"TagMango is a marketing and advertising app that helps influencer, and brands to partner with individuals.",700000.0,Seed,2020,Commerce
The New Shop,New Delhi,retail startup,The New Shop is a chain of high speed retail stores,500000.0,Seed,2020,Commerce
MobiKwik,Gurgaon,fintech,"MobiKwik is India’s leading fintech platform, operating businesses in consumer payments, payment gateway, and financial services.",7000000.0,Seed,2020,Finance
